"=== MUTANTS & MASTERMINDS 3E - CHARACTER PROFILE ===","","","","",""
"Character Name","Apex Guardian","Power Level (PL)","PL 10","Export Format","Excel / CSV Compatible"
"Player Name","Caniago","Hero Points","1","Timestamp","9/10/2026, 4:43:31 AM"
"Secret Identity","Alexander Vance (Secret)","Base of Operations","Freedom City High Tower","System","M&M 3rd Edition (OGL)"
"","","","","",""
"=== POINT POOL & PP AUDIT ===","","","","",""
"Category","Spent Points","Budget Allocation","Remaining Balance","Audit Status","Notes"
"Abilities","44 PP","150 PP Budget","44 PP Remaining","+44 PP Available","Cost: 2 PP per +1 ability score"
"Defenses","18 PP","PL Cap: Max 20 per pair","","Purchased","Dodge, Parry, Fortitude, Will"
"Skills","7 PP","14 Total Ranks","","1 PP per 2 ranks","Includes specializations"
"Advantages","5 PP","5 Total Ranks","","1 PP per rank","3 advantages chosen"
"Powers","32 PP","2 Powers Total","","Cost per power formula","Includes suites & arrays"
"TOTAL SPENT","106 PP","Budget: 150 PP","Remaining: 44 PP","LEGAL BUILD","PL 10 standard budget"
"","","","","",""
"=== ABILITIES ===","","","","",""
"Ability","Abbr","Score","Cost (PP)","Modifier & Baseline Mechanics","Key Derived Statistics"
"Strength","STR","+4","8 PP","Damage +4, Athletics, Lifting: 800 lbs","Standard/Enhanced"
"Stamina","STA","+4","8 PP","Fortitude base +4, Toughness base +4","Standard/Enhanced"
"Agility","AGL","+2","4 PP","Dodge base +2, Initiative base +2, Acrobatics, Stealth","Standard/Enhanced"
"Dexterity","DEX","+2","4 PP","Ranged attack base +2, Sleight of Hand, Vehicles","Standard/Enhanced"
"Fighting","FGT","+4","8 PP","Close attack base +4, Parry base +4","Standard/Enhanced"
"Intellect","INT","+2","4 PP","Expertise, Investigation, Technology, Treatment","Standard/Enhanced"
"Awareness","AWE","+2","4 PP","Will base +2, Insight, Perception","Standard/Enhanced"
"Presence","PRE","+2","4 PP","Deception, Intimidation, Persuasion","Standard/Enhanced"
"","","","","",""
"=== DEFENSES & INITIATIVE ===","","","","",""
"Defense Trait","Base Ability","Bought Ranks","Total Defense","PL Cap Limit","Audit Compliance"
"DODGE","AGL (+2)","4","6","Dodge + Toughness <= 20","✓ OK (10/20)"
"PARRY","FGT (+4)","4","8","Parry + Toughness <= 20","✓ OK (12/20)"
"FORTITUDE","STA (+4)","4","8","Fortitude + Will <= 20","✓ OK (16/20)"
"TOUGHNESS","STA (+4)","+2 (Defensive Roll)","4","Paired with Dodge/Parry","Resists Physical & Energy Damage"
